Source:																			
Date:	7/4/2022 6:14:17 PM																		
Tool:	Eeschema (6.0.5)																		
Generator:	C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py																		
Component Count:	3																		
																			
Individual Components:																			
																			
Item	Qty	Reference(s)	Value	LibPart	Footprint	Datasheet	Capacitance	LCSC	MPN	MV PN	Manufacturer	Package	Supplier	Supplier PN	TempCo	Tolerance	Variant_DRV	Variant_Si7210	Voltage Rating
		C2	C	master-vampire:C	master-vampire:C_0805		100nF	C695378	CL21B104KACNNNC	DNP	Samsung Electro-Mechanics	805	DigiKey	1276-1099-1-ND	X7R	20per		DNP	50V
		J1	Conn_1x3	master-vampire:Conn_1x3	master-vampire:CONN_HEADER_MALE_1X3PIN_P1.27MM_TH_Phob				GRPB031VWVN-RC	DNP	Sullins Connector Solutions	Through-hole	DigiKey	S9014E-03-ND				DNP	
		U1	U_DRV5053	master-vampire:U_DRV5053	master-vampire:SOT-23-3				DRV5053PAQDBZTQ1	DNP	Texas Instruments	SOT-23-3	DigiKey	296-DRV5053PAQDBZTQ1CT-ND				DNP	
																			
																			
																			
Collated Components:																			
																			
Item	Qty	Reference(s)	Value	LibPart	Footprint	Datasheet	Capacitance	LCSC	MPN	MV PN	Manufacturer	Package	Supplier	Supplier PN	TempCo	Tolerance	Variant_DRV	Variant_Si7210	Voltage Rating
1	1	C2	C	master-vampire:C	master-vampire:C_0805		100nF	C695378	CL21B104KACNNNC	DNP	Samsung Electro-Mechanics	805	DigiKey	1276-1099-1-ND	X7R	20per		DNP	50V
2	1	J1	Conn_1x3	master-vampire:Conn_1x3	master-vampire:CONN_HEADER_MALE_1X3PIN_P1.27MM_TH_Phob				GRPB031VWVN-RC	DNP	Sullins Connector Solutions	Through-hole	DigiKey	S9014E-03-ND				DNP	
3	1	U1	U_DRV5053	master-vampire:U_DRV5053	master-vampire:SOT-23-3				DRV5053PAQDBZTQ1	DNP	Texas Instruments	SOT-23-3	DigiKey	296-DRV5053PAQDBZTQ1CT-ND				DNP	
